checked_at,origin,dest,option,hub,price_rub,price_eur,eur_rate,depart_month,detail,link1,link2
2026-07-04 09:09,LED,VCE,Через Белград,BEG,30537,347,88.0304,2026-09,Белград: 24 848 ₽ + 5 689 ₽,,
2026-07-04 09:09,LED,TSF,Любой маршрут (мин.),,23543,267,88.0304,2026-09,вылет 2026-09-27 · 2 перес. · 36 ч 50 мин · a/к PC,,
2026-07-04 09:09,LED,TSF,Через Ереван,EVN,18830,214,88.0304,2026-09,Ереван: 12 501 ₽ + 6 329 ₽,,
2026-07-04 09:09,LED,TSF,Через Турцию,IST,21637,246,88.0304,2026-09,Стамбул IST: 14 330 ₽ + 7 307 ₽,,
2026-07-04 09:09,LED,TSF,Через Белград,BEG,30537,347,88.0304,2026-09,Белград: 24 848 ₽ + 5 689 ₽,,
2026-07-04 20:14,MOW,VCE,Любой маршрут (мин.),,18107,206,88.0304,2026-09,вылет 2026-09-29 · 2 перес. · 25 ч 40 мин · a/к 3F,,
2026-07-04 20:14,MOW,VCE,Через Ереван,EVN,15715,179,88.0304,2026-09,Ереван: 9 386 ₽ + 6 329 ₽,,
2026-07-04 20:14,MOW,VCE,Через Турцию,IST,16952,193,88.0304,2026-09,Стамбул IST: 11 045 ₽ + 5 907 ₽,,
2026-07-04 20:14,MOW,VCE,Через Белград,BEG,26829,305,88.0304,2026-09,Белград: 21 140 ₽ + 5 689 ₽,,
2026-07-04 20:14,MOW,TSF,Любой маршрут (мин.),,18737,213,88.0304,2026-09,вылет 2026-09-30 · 2 перес. · 43 ч 50 мин · a/к UT,,
2026-07-04 20:14,MOW,TSF,Через Ереван,EVN,15715,179,88.0304,2026-09,Ереван: 9 386 ₽ + 6 329 ₽,,
2026-07-04 20:14,MOW,TSF,Через Турцию,IST,18352,208,88.0304,2026-09,Стамбул IST: 11 045 ₽ + 7 307 ₽,,
2026-07-04 20:14,MOW,TSF,Через Белград,BEG,26829,305,88.0304,2026-09,Белград: 21 140 ₽ + 5 689 ₽,,
2026-07-04 20:14,LED,VCE,Любой маршрут (мин.),,22879,260,88.0304,2026-09,вылет 2026-09-12 · 2 перес. · 34 ч 5 мин · a/к PC,,
2026-07-04 20:14,LED,VCE,Через Ереван,EVN,18830,214,88.0304,2026-09,Ереван: 12 501 ₽ + 6 329 ₽,,
2026-07-04 20:14,LED,VCE,Через Турцию,IST,20362,231,88.0304,2026-09,Стамбул IST: 14 455 ₽ + 5 907 ₽,,
2026-07-04 20:14,LED,VCE,Через Белград,BEG,30537,347,88.0304,2026-09,Белград: 24 848 ₽ + 5 689 ₽,,
